,horsepower,origin,mpg,cylinders,displacement,weight,acceleration,model year,car name,other
42,180,1.0,12.0,8.0,383.0,4955.0,11.5,71.0,dodge monaco (sw),1
43,170,1.0,13.0,8.0,400.0,4746.0,12.0,71.0,ford country squire (sw),1
44,175,1.0,13.0,8.0,400.0,5140.0,12.0,71.0,pontiac safari (sw),1
45,150,1.0,18.0,6.0,258.0,2962.0,13.5,71.0,amc hornet sportabout (sw),1
46,72,1.0,22.0,4.0,140.0,2408.0,19.0,71.0,chevrolet vega (sw),1
47,100,1.0,19.0,6.0,250.0,3282.0,15.0,71.0,pontiac firebird,1
48,88,1.0,18.0,6.0,250.0,3139.0,14.5,71.0,ford mustang,1
49,86,1.0,23.0,4.0,122.0,2220.0,14.0,71.0,mercury capri 2000,1
50,90,2.0,28.0,4.0,116.0,2123.0,14.0,71.0,opel 1900,1
51,70,2.0,30.0,4.0,79.0,2074.0,19.5,71.0,peugeot 304,1
52,76,2.0,30.0,4.0,88.0,2065.0,14.5,71.0,fiat 124b,1
53,65,1.0,31.0,4.0,71.0,1773.0,19.0,71.0,toyota corolla 1200,1
54,69,3.0,35.0,4.0,72.0,1613.0,18.0,71.0,datsun 1200,1
55,60,2.0,27.0,4.0,97.0,1834.0,19.0,71.0,volkswagen model 111,1
56,70,1.0,26.0,4.0,91.0,1955.0,20.5,71.0,plymouth cricket,1
57,95,3.0,24.0,4.0,113.0,2278.0,15.5,72.0,toyota corona hardtop,1
58,80,1.0,25.0,4.0,97.5,2126.0,17.0,72.0,dodge colt hardtop,1
59,54,2.0,23.0,4.0,97.0,2254.0,23.5,72.0,volkswagen type 3,1
60,90,1.0,20.0,4.0,140.0,2408.0,19.5,72.0,chevrolet vega,1
61,86,1.0,21.0,4.0,122.0,2226.0,16.5,72.0,ford pinto runabout,1
62,165,1.0,13.0,8.0,350.0,4274.0,12.0,72.0,chevrolet impala,1
63,175,1.0,14.0,8.0,400.0,4385.0,12.0,72.0,pontiac catalina,1
64,150,1.0,15.0,8.0,318.0,4135.0,13.5,72.0,plymouth fury iii,1
65,153,1.0,14.0,8.0,351.0,4129.0,13.0,72.0,ford galaxie 500,1
66,150,1.0,17.0,8.0,304.0,3672.0,11.5,72.0,amc ambassador sst,1
67,208,1.0,11.0,8.0,429.0,4633.0,11.0,72.0,mercury marquis,1
68,155,1.0,13.0,8.0,350.0,4502.0,13.5,72.0,buick lesabre custom,1
69,160,1.0,12.0,8.0,350.0,4456.0,13.5,72.0,oldsmobile delta 88 royale,1
70,190,1.0,13.0,8.0,400.0,4422.0,12.5,72.0,chrysler newport royal,1
71,97,3.0,19.0,3.0,70.0,2330.0,13.5,72.0,mazda rx2 coupe,1
72,150,1.0,15.0,8.0,304.0,3892.0,12.5,72.0,amc matador (sw),1
73,150,1.0,13.0,8.0,307.0,4098.0,14.0,72.0,chevrolet chevelle concours (sw),1
74,140,1.0,13.0,8.0,302.0,4294.0,16.0,72.0,ford gran torino (sw),1
75,150,1.0,14.0,8.0,318.0,4077.0,14.0,72.0,plymouth satellite custom (sw),1
76,112,2.0,18.0,4.0,121.0,2933.0,14.5,72.0,volvo 145e (sw),1
77,76,2.0,22.0,4.0,121.0,2511.0,18.0,72.0,volkswagen 411 (sw),1
78,87,2.0,21.0,4.0,120.0,2979.0,19.5,72.0,peugeot 504 (sw),1
79,69,2.0,26.0,4.0,96.0,2189.0,18.0,72.0,renault 12 (sw),1
80,86,1.0,22.0,4.0,122.0,2395.0,16.0,72.0,ford pinto (sw),1
81,92,3.0,28.0,4.0,97.0,2288.0,17.0,72.0,datsun 510 (sw),1
82,97,3.0,23.0,4.0,120.0,2506.0,14.5,72.0,toyouta corona mark ii (sw),1
83,80,1.0,28.0,4.0,98.0,2164.0,15.0,72.0,dodge colt (sw),1
84,88,3.0,27.0,4.0,97.0,2100.0,16.5,72.0,toyota corolla 1600 (sw),1
85,175,1.0,13.0,8.0,350.0,4100.0,13.0,73.0,buick century 350,1
86,150,1.0,14.0,8.0,304.0,3672.0,11.5,73.0,amc matador,1
87,145,1.0,13.0,8.0,350.0,3988.0,13.0,73.0,chevrolet malibu,1
88,137,1.0,14.0,8.0,302.0,4042.0,14.5,73.0,ford gran torino,1
89,150,1.0,15.0,8.0,318.0,3777.0,12.5,73.0,dodge coronet custom,1
90,198,1.0,12.0,8.0,429.0,4952.0,11.5,73.0,mercury marquis brougham,1
91,150,1.0,13.0,8.0,400.0,4464.0,12.0,73.0,chevrolet caprice classic,1
92,158,1.0,13.0,8.0,351.0,4363.0,13.0,73.0,ford ltd,1
93,150,1.0,14.0,8.0,318.0,4237.0,14.5,73.0,plymouth fury gran sedan,1
94,150,1.0,13.0,8.0,440.0,4735.0,11.0,73.0,chrysler new yorker brougham,1
95,225,1.0,12.0,8.0,455.0,4951.0,11.0,73.0,buick electra 225 custom,1
96,175,1.0,13.0,8.0,360.0,3821.0,11.0,73.0,amc ambassador brougham,1
97,105,1.0,18.0,6.0,225.0,3121.0,16.5,73.0,plymouth valiant,1
98,100,1.0,16.0,6.0,250.0,3278.0,18.0,73.0,chevrolet nova custom,1
99,100,1.0,18.0,6.0,232.0,2945.0,16.0,73.0,amc hornet,1
100,88,1.0,18.0,6.0,250.0,3021.0,16.5,73.0,ford maverick,1
101,95,1.0,23.0,6.0,198.0,2904.0,16.0,73.0,plymouth duster,1
102,46,2.0,26.0,4.0,97.0,1950.0,21.0,73.0,volkswagen super beetle,1
103,150,1.0,11.0,8.0,400.0,4997.0,14.0,73.0,chevrolet impala,1
104,167,1.0,12.0,8.0,400.0,4906.0,12.5,73.0,ford country,1
105,170,1.0,13.0,8.0,360.0,4654.0,13.0,73.0,plymouth custom suburb,1
106,180,1.0,12.0,8.0,350.0,4499.0,12.5,73.0,oldsmobile vista cruiser,1
107,100,1.0,18.0,6.0,232.0,2789.0,15.0,73.0,amc gremlin,1
108,88,3.0,20.0,4.0,97.0,2279.0,19.0,73.0,toyota carina,1
109,72,1.0,21.0,4.0,140.0,2401.0,19.5,73.0,chevrolet vega,1
110,94,3.0,22.0,4.0,108.0,2379.0,16.5,73.0,datsun 610,1
111,90,3.0,18.0,3.0,70.0,2124.0,13.5,73.0,maxda rx3,1
112,85,1.0,19.0,4.0,122.0,2310.0,18.5,73.0,ford pinto,1
113,107,1.0,21.0,6.0,155.0,2472.0,14.0,73.0,mercury capri v6,1
114,150,2.0,26.0,4.0,98.0,2265.0,15.5,73.0,fiat 124 sport coupe,1
115,145,1.0,15.0,8.0,350.0,4082.0,13.0,73.0,chevrolet monte carlo s,1
116,230,1.0,16.0,8.0,400.0,4278.0,9.5,73.0,pontiac grand prix,1
117,49,2.0,29.0,4.0,68.0,1867.0,19.5,73.0,fiat 128,1
118,75,2.0,24.0,4.0,116.0,2158.0,15.5,73.0,opel manta,1
119,91,2.0,20.0,4.0,114.0,2582.0,14.0,73.0,audi 100ls,1
120,112,2.0,19.0,4.0,121.0,2868.0,15.5,73.0,volvo 144ea,1
121,150,1.0,15.0,8.0,318.0,3399.0,11.0,73.0,dodge dart custom,1
122,110,2.0,24.0,4.0,121.0,2660.0,14.0,73.0,saab 99le,1
123,122,3.0,20.0,6.0,156.0,2807.0,13.5,73.0,toyota mark ii,1
124,180,1.0,11.0,8.0,350.0,3664.0,11.0,73.0,oldsmobile omega,1
125,95,1.0,20.0,6.0,198.0,3102.0,16.5,74.0,plymouth duster,1
126,150,1.0,21.0,6.0,200.0,2875.0,17.0,74.0,ford maverick,1
127,100,1.0,19.0,6.0,232.0,2901.0,16.0,74.0,amc hornet,1
128,100,1.0,15.0,6.0,250.0,3336.0,17.0,74.0,chevrolet nova,1
129,67,3.0,31.0,4.0,79.0,1950.0,19.0,74.0,datsun b210,1
130,80,1.0,26.0,4.0,122.0,2451.0,16.5,74.0,ford pinto,1
131,65,3.0,32.0,4.0,71.0,1836.0,21.0,74.0,toyota corolla 1200,1
132,75,1.0,25.0,4.0,140.0,2542.0,17.0,74.0,chevrolet vega,1
133,100,1.0,16.0,6.0,250.0,3781.0,17.0,74.0,chevrolet chevelle malibu classic,1
134,110,1.0,16.0,6.0,258.0,3632.0,18.0,74.0,amc matador,1
135,105,1.0,18.0,6.0,225.0,3613.0,16.5,74.0,plymouth satellite sebring,1
136,140,1.0,16.0,8.0,302.0,4141.0,14.0,74.0,ford gran torino,1
137,150,1.0,13.0,8.0,350.0,4699.0,14.5,74.0,buick century luxus (sw),1
138,150,1.0,14.0,8.0,318.0,4457.0,13.5,74.0,dodge coronet custom (sw),1
139,140,1.0,14.0,8.0,302.0,4638.0,16.0,74.0,ford gran torino (sw),1
140,150,1.0,14.0,8.0,304.0,4257.0,15.5,74.0,amc matador (sw),1
141,83,2.0,29.0,4.0,98.0,2219.0,16.5,74.0,audi fox,1
142,67,1.0,26.0,4.0,79.0,1963.0,15.5,74.0,volkswagen dasher,1
143,78,2.0,26.0,4.0,97.0,2300.0,14.5,74.0,opel manta,1
144,52,3.0,31.0,4.0,76.0,1649.0,16.5,74.0,toyota corona,1
145,61,3.0,32.0,4.0,83.0,2003.0,19.0,74.0,datsun 710,1
146,75,1.0,28.0,4.0,90.0,2125.0,14.5,74.0,dodge colt,1
147,150,2.0,24.0,4.0,90.0,2108.0,15.5,74.0,fiat 128,1
148,75,2.0,26.0,4.0,116.0,2246.0,14.0,74.0,fiat 124 tc,1
149,97,3.0,24.0,4.0,120.0,2489.0,15.0,74.0,honda civic,1
150,93,3.0,26.0,4.0,108.0,2391.0,15.5,74.0,subaru,1
151,67,2.0,31.0,4.0,79.0,2000.0,16.0,74.0,fiat x1.9,1
152,95,1.0,19.0,6.0,225.0,3264.0,16.0,75.0,plymouth valiant custom,1
153,105,1.0,18.0,6.0,250.0,3459.0,16.0,75.0,chevrolet nova,1
154,72,1.0,15.0,6.0,250.0,3432.0,21.0,75.0,mercury monarch,1
155,72,1.0,15.0,6.0,250.0,3158.0,19.5,75.0,ford maverick,1
156,170,1.0,16.0,8.0,400.0,4668.0,11.5,75.0,pontiac catalina,1
157,145,1.0,15.0,8.0,350.0,4440.0,14.0,75.0,chevrolet bel air,1
158,150,1.0,16.0,8.0,318.0,4498.0,14.5,75.0,plymouth grand fury,1
159,148,1.0,14.0,8.0,351.0,4657.0,13.5,75.0,ford ltd,1
160,110,1.0,17.0,6.0,231.0,3907.0,21.0,75.0,buick century,1
161,105,1.0,16.0,6.0,250.0,3897.0,18.5,75.0,chevroelt chevelle malibu,1
162,110,1.0,15.0,6.0,258.0,3730.0,19.0,75.0,amc matador,1
163,95,1.0,18.0,6.0,225.0,3785.0,19.0,75.0,plymouth fury,1
164,110,1.0,21.0,6.0,231.0,3039.0,15.0,75.0,buick skyhawk,1
165,110,1.0,20.0,8.0,262.0,3221.0,13.5,75.0,chevrolet monza 2+2,1
166,129,1.0,13.0,8.0,302.0,3169.0,12.0,75.0,ford mustang ii,1
167,150,3.0,29.0,4.0,97.0,2171.0,16.0,75.0,toyota corolla,1
168,83,1.0,23.0,4.0,140.0,2639.0,17.0,75.0,ford pinto,1
169,100,1.0,20.0,6.0,232.0,2914.0,16.0,75.0,amc gremlin,1
170,78,1.0,23.0,4.0,140.0,2592.0,18.5,75.0,pontiac astro,1
171,96,3.0,24.0,4.0,134.0,2702.0,13.5,75.0,toyota corona,1
172,71,2.0,25.0,4.0,90.0,2223.0,16.5,75.0,volkswagen dasher,1
173,97,3.0,24.0,4.0,119.0,2545.0,17.0,75.0,datsun 710,1
174,97,1.0,18.0,6.0,171.0,2984.0,14.5,75.0,ford pinto,1
175,70,2.0,29.0,4.0,90.0,1937.0,14.0,75.0,volkswagen rabbit,1
176,90,1.0,19.0,6.0,232.0,3211.0,17.0,75.0,amc pacer,1
177,95,2.0,23.0,4.0,115.0,2694.0,15.0,75.0,audi 100ls,1
178,88,1.0,23.0,4.0,120.0,2957.0,17.0,75.0,peugeot 504,1
179,98,2.0,22.0,4.0,121.0,2945.0,14.5,75.0,volvo 244dl,1
180,115,2.0,25.0,4.0,121.0,2671.0,13.5,75.0,saab 99le,1
181,53,3.0,33.0,4.0,91.0,1795.0,17.5,75.0,honda civic cvcc,1
182,86,2.0,28.0,4.0,107.0,2464.0,15.5,76.0,fiat 131,1
183,81,2.0,25.0,4.0,116.0,2220.0,16.9,76.0,opel 1900,1
184,92,1.0,25.0,4.0,140.0,2572.0,14.9,76.0,capri ii,1
185,79,1.0,26.0,4.0,98.0,2255.0,17.7,76.0,dodge colt,1
186,83,2.0,27.0,4.0,101.0,2202.0,15.3,76.0,renault 12tl,1
187,140,1.0,17.5,8.0,305.0,4215.0,13.0,76.0,chevrolet chevelle malibu classic,1
188,150,1.0,16.0,8.0,318.0,4190.0,13.0,76.0,dodge coronet brougham,1
189,150,1.0,15.5,8.0,304.0,3962.0,13.9,76.0,amc matador,1
190,152,1.0,14.5,8.0,351.0,4215.0,12.8,76.0,ford gran torino,1
191,100,1.0,22.0,6.0,225.0,3233.0,15.4,76.0,plymouth valiant,1
192,105,1.0,22.0,6.0,250.0,3353.0,14.5,76.0,chevrolet nova,1
193,81,1.0,24.0,6.0,200.0,3012.0,17.6,76.0,ford maverick,1
194,90,1.0,22.5,6.0,232.0,3085.0,17.6,76.0,amc hornet,1
195,52,1.0,29.0,4.0,85.0,2035.0,22.2,76.0,chevrolet chevette,1
196,60,1.0,24.5,4.0,98.0,2164.0,22.1,76.0,chevrolet woody,1
197,70,2.0,29.0,4.0,90.0,1937.0,14.2,76.0,vw rabbit,1
198,53,3.0,33.0,4.0,91.0,1795.0,17.4,76.0,honda civic,1
199,150,1.0,20.0,6.0,225.0,3651.0,17.7,76.0,dodge aspen se,1
200,78,1.0,18.0,6.0,250.0,3574.0,21.0,76.0,ford granada ghia,1
201,110,1.0,18.5,6.0,250.0,3645.0,16.2,76.0,pontiac ventura sj,1
202,95,1.0,17.5,6.0,258.0,3193.0,17.8,76.0,amc pacer d/l,1
203,71,2.0,29.5,4.0,97.0,1825.0,12.2,76.0,volkswagen rabbit,1
204,70,3.0,32.0,4.0,85.0,1990.0,17.0,76.0,datsun b-210,1
205,75,3.0,28.0,4.0,97.0,2155.0,16.4,76.0,toyota corolla,1
206,72,1.0,26.5,4.0,140.0,2565.0,13.6,76.0,ford pinto,1
207,102,2.0,20.0,4.0,130.0,3150.0,15.7,76.0,volvo 245,1
208,150,1.0,13.0,8.0,318.0,3940.0,13.2,76.0,plymouth volare premier v8,1
209,88,1.0,19.0,4.0,120.0,3270.0,21.9,76.0,peugeot 504,1
210,108,3.0,19.0,6.0,156.0,2930.0,15.5,76.0,toyota mark ii,1
211,120,2.0,16.5,6.0,168.0,3820.0,16.7,76.0,mercedes-benz 280s,1
212,180,1.0,16.5,8.0,350.0,4380.0,12.1,76.0,cadillac seville,1
213,145,1.0,13.0,8.0,350.0,4055.0,12.0,76.0,chevy c10,1
214,130,1.0,13.0,8.0,302.0,3870.0,15.0,76.0,ford f108,1
215,150,1.0,13.0,8.0,318.0,3755.0,14.0,76.0,dodge d100,1
216,68,3.0,31.5,4.0,98.0,2045.0,18.5,77.0,honda accord cvcc,1
217,80,1.0,30.0,4.0,111.0,2155.0,14.8,77.0,buick opel isuzu deluxe,1
218,58,2.0,36.0,4.0,79.0,1825.0,18.6,77.0,renault 5 gtl,1
219,96,1.0,25.5,4.0,122.0,2300.0,15.5,77.0,plymouth arrow gs,1
220,70,3.0,33.5,4.0,85.0,1945.0,16.8,77.0,datsun f-10 hatchback,1
221,145,1.0,17.5,8.0,305.0,3880.0,12.5,77.0,chevrolet caprice classic,1
222,150,1.0,17.0,8.0,260.0,4060.0,19.0,77.0,oldsmobile cutlass supreme,1
223,145,1.0,15.5,8.0,318.0,4140.0,13.7,77.0,dodge monaco brougham,1
224,130,1.0,15.0,8.0,302.0,4295.0,14.9,77.0,mercury cougar brougham,1
225,110,1.0,17.5,6.0,250.0,3520.0,16.4,77.0,chevrolet concours,1
226,105,1.0,20.5,6.0,231.0,3425.0,16.9,77.0,buick skylark,1
227,100,1.0,19.0,6.0,225.0,3630.0,17.7,77.0,plymouth volare custom,1
228,98,1.0,18.5,6.0,250.0,3525.0,19.0,77.0,ford granada,1
229,180,1.0,16.0,8.0,400.0,4220.0,11.1,77.0,pontiac grand prix lj,1
230,170,1.0,15.5,8.0,350.0,4165.0,11.4,77.0,chevrolet monte carlo landau,1
231,190,1.0,15.5,8.0,400.0,4325.0,12.2,77.0,chrysler cordoba,1
232,149,1.0,16.0,8.0,351.0,4335.0,14.5,77.0,ford thunderbird,1
233,78,2.0,29.0,4.0,97.0,1940.0,14.5,77.0,volkswagen rabbit custom,1
234,88,1.0,24.5,4.0,151.0,2740.0,16.0,77.0,pontiac sunbird coupe,1
235,75,3.0,26.0,4.0,97.0,2265.0,18.2,77.0,toyota corolla liftback,1
236,89,1.0,25.5,4.0,140.0,2755.0,15.8,77.0,ford mustang ii 2+2,1
237,63,1.0,30.5,4.0,98.0,2051.0,17.0,77.0,chevrolet chevette,1
238,83,1.0,33.5,4.0,98.0,2075.0,15.9,77.0,dodge colt m/m,1
239,67,3.0,30.0,4.0,97.0,1985.0,16.4,77.0,subaru dl,1
240,78,2.0,30.5,4.0,97.0,2190.0,14.1,77.0,volkswagen dasher,1
241,97,1.0,22.0,6.0,146.0,2815.0,14.5,77.0,datsun 810,1
242,110,2.0,21.5,4.0,121.0,2600.0,12.8,77.0,bmw 320i,1
243,110,3.0,21.5,3.0,80.0,2720.0,13.5,77.0,mazda rx-4,1
244,48,2.0,43.1,4.0,90.0,1985.0,21.5,78.0,volkswagen rabbit custom diesel,1
245,66,1.0,36.1,4.0,98.0,1800.0,14.4,78.0,ford fiesta,1
246,52,3.0,32.8,4.0,78.0,1985.0,19.4,78.0,mazda glc deluxe,1
247,70,3.0,39.4,4.0,85.0,2070.0,18.6,78.0,datsun b210 gx,1
248,60,3.0,36.1,4.0,91.0,1800.0,16.4,78.0,honda civic cvcc,1
249,110,1.0,19.9,8.0,260.0,3365.0,15.5,78.0,oldsmobile cutlass salon brougham,1
250,140,1.0,19.4,8.0,318.0,3735.0,13.2,78.0,dodge diplomat,1
251,139,1.0,20.2,8.0,302.0,3570.0,12.8,78.0,mercury monarch ghia,1
252,105,1.0,19.2,6.0,231.0,3535.0,19.2,78.0,pontiac phoenix lj,1
253,95,1.0,20.5,6.0,200.0,3155.0,18.2,78.0,chevrolet malibu,1
254,85,1.0,20.2,6.0,200.0,2965.0,15.8,78.0,ford fairmont (auto),1
255,88,1.0,25.1,4.0,140.0,2720.0,15.4,78.0,ford fairmont (man),1
256,100,1.0,20.5,6.0,225.0,3430.0,17.2,78.0,plymouth volare,1
257,90,1.0,19.4,6.0,232.0,3210.0,17.2,78.0,amc concord,1
258,105,1.0,20.6,6.0,231.0,3380.0,15.8,78.0,buick century special,1
259,85,1.0,20.8,6.0,200.0,3070.0,16.7,78.0,mercury zephyr,1
260,110,1.0,18.6,6.0,225.0,3620.0,18.7,78.0,dodge aspen,1
261,120,1.0,18.1,6.0,258.0,3410.0,15.1,78.0,amc concord d/l,1
262,145,1.0,19.2,8.0,305.0,3425.0,13.2,78.0,chevrolet monte carlo landau,1
263,165,1.0,17.7,6.0,231.0,3445.0,13.4,78.0,buick regal sport coupe (turbo),1
264,139,1.0,18.1,8.0,302.0,3205.0,11.2,78.0,ford futura,1
265,140,1.0,17.5,8.0,318.0,4080.0,13.7,78.0,dodge magnum xe,1
266,68,1.0,30.0,4.0,98.0,2155.0,16.5,78.0,chevrolet chevette,1
267,95,3.0,27.5,4.0,134.0,2560.0,14.2,78.0,toyota corona,1
268,97,3.0,27.2,4.0,119.0,2300.0,14.7,78.0,datsun 510,1
269,75,1.0,30.9,4.0,105.0,2230.0,14.5,78.0,dodge omni,1
270,95,3.0,21.1,4.0,134.0,2515.0,14.8,78.0,toyota celica gt liftback,1
271,105,1.0,23.2,4.0,156.0,2745.0,16.7,78.0,plymouth sapporo,1
272,85,1.0,23.8,4.0,151.0,2855.0,17.6,78.0,oldsmobile starfire sx,1
273,97,3.0,23.9,4.0,119.0,2405.0,14.9,78.0,datsun 200-sx,1
274,103,2.0,20.3,5.0,131.0,2830.0,15.9,78.0,audi 5000,1
275,125,2.0,17.0,6.0,163.0,3140.0,13.6,78.0,volvo 264gl,1
276,115,2.0,21.6,4.0,121.0,2795.0,15.7,78.0,saab 99gle,1
277,133,2.0,16.2,6.0,163.0,3410.0,15.8,78.0,peugeot 604sl,1
278,71,2.0,31.5,4.0,89.0,1990.0,14.9,78.0,volkswagen scirocco,1
279,68,3.0,29.5,4.0,98.0,2135.0,16.6,78.0,honda accord lx,1
280,115,1.0,21.5,6.0,231.0,3245.0,15.4,79.0,pontiac lemans v6,1
281,85,1.0,19.8,6.0,200.0,2990.0,18.2,79.0,mercury zephyr 6,1
282,88,1.0,22.3,4.0,140.0,2890.0,17.3,79.0,ford fairmont 4,1
283,90,1.0,20.2,6.0,232.0,3265.0,18.2,79.0,amc concord dl 6,1
284,110,1.0,20.6,6.0,225.0,3360.0,16.6,79.0,dodge aspen 6,1
285,130,1.0,17.0,8.0,305.0,3840.0,15.4,79.0,chevrolet caprice classic,1
286,129,1.0,17.6,8.0,302.0,3725.0,13.4,79.0,ford ltd landau,1
287,138,1.0,16.5,8.0,351.0,3955.0,13.2,79.0,mercury grand marquis,1
288,135,1.0,18.2,8.0,318.0,3830.0,15.2,79.0,dodge st. regis,1
289,155,1.0,16.9,8.0,350.0,4360.0,14.9,79.0,buick estate wagon (sw),1
290,142,1.0,15.5,8.0,351.0,4054.0,14.3,79.0,ford country squire (sw),1
291,125,1.0,19.2,8.0,267.0,3605.0,15.0,79.0,chevrolet malibu classic (sw),1
292,150,1.0,18.5,8.0,360.0,3940.0,13.0,79.0,chrysler lebaron town @ country (sw),1
293,71,2.0,31.9,4.0,89.0,1925.0,14.0,79.0,vw rabbit custom,1
294,65,3.0,34.1,4.0,86.0,1975.0,15.2,79.0,maxda glc deluxe,1
295,80,1.0,35.7,4.0,98.0,1915.0,14.4,79.0,dodge colt hatchback custom,1
296,80,1.0,27.4,4.0,121.0,2670.0,15.0,79.0,amc spirit dl,1
297,77,2.0,25.4,5.0,183.0,3530.0,20.1,79.0,mercedes benz 300d,1
298,125,1.0,23.0,8.0,350.0,3900.0,17.4,79.0,cadillac eldorado,1
299,71,2.0,27.2,4.0,141.0,3190.0,24.8,79.0,peugeot 504,1
300,90,1.0,23.9,8.0,260.0,3420.0,22.2,79.0,oldsmobile cutlass salon brougham,1
301,70,1.0,34.2,4.0,105.0,2200.0,13.2,79.0,plymouth horizon,1
302,70,1.0,34.5,4.0,105.0,2150.0,14.9,79.0,plymouth horizon tc3,1
303,65,3.0,31.8,4.0,85.0,2020.0,19.2,79.0,datsun 210,1
304,69,2.0,37.3,4.0,91.0,2130.0,14.7,79.0,fiat strada custom,1
305,90,1.0,28.4,4.0,151.0,2670.0,16.0,79.0,buick skylark limited,1
306,115,1.0,28.8,6.0,173.0,2595.0,11.3,79.0,chevrolet citation,1
307,115,1.0,26.8,6.0,173.0,2700.0,12.9,79.0,oldsmobile omega brougham,1
308,90,1.0,33.5,4.0,151.0,2556.0,13.2,79.0,pontiac phoenix,1
309,76,2.0,41.5,4.0,98.0,2144.0,14.7,80.0,vw rabbit,1
310,60,3.0,38.1,4.0,89.0,1968.0,18.8,80.0,toyota corolla tercel,1
311,70,1.0,32.1,4.0,98.0,2120.0,15.5,80.0,chevrolet chevette,1
312,65,3.0,37.2,4.0,86.0,2019.0,16.4,80.0,datsun 310,1
313,90,1.0,28.0,4.0,151.0,2678.0,16.5,80.0,chevrolet citation,1
314,88,1.0,26.4,4.0,140.0,2870.0,18.1,80.0,ford fairmont,1
315,90,1.0,24.3,4.0,151.0,3003.0,20.1,80.0,amc concord,1
316,90,1.0,19.1,6.0,225.0,3381.0,18.7,80.0,dodge aspen,1
317,78,2.0,34.3,4.0,97.0,2188.0,15.8,80.0,audi 4000,1
318,90,3.0,29.8,4.0,134.0,2711.0,15.5,80.0,toyota corona liftback,1
